wh, wp, sojourn_edge, sojourn_corner
0.0, 0.0, 1065.07, NaN
0.1, 0.1, 1068.51, NaN
0.2, 0.2, 1080.6,  1748.16
0.2, 0.4, 1035.78, NaN
0.2, 0.6, 926.867, NaN
0.2, 0.8, 809.884, NaN
0.2, 1,   701.218, NaN
0.3, 0.3, 1105.3,  1603.98
0.3, 0.4, 1106.6,  NaN
0.3, 0.5, 1083.53, NaN
0.3, 0.6, 1044.89, NaN
0.4, 0.2, 1035.78, NaN
0.4, 0.3, 1106.6,  NaN
0.4, 0.4, 1149.6,  1545.84
0.4, 0.5, 1165.69, NaN
0.4, 0.6, 1159.98, NaN
0.4, 0.8, 1105.71, NaN
0.4, 1,   1023.66, NaN
0.5, 0.3, 1083.53, NaN 
0.5, 0.4, 1165.69, NaN
0.5, 0.5, 1226.95, NaN
0.5, 0.6, 1267.55, NaN
0.6, 0.2, 926.867, NaN
0.6, 0.3, 1044.89, NaN
0.6, 0.4, 1159.98, NaN
0.6, 0.5, 1267.55, NaN
0.6, 0.6, 1366.17, 1642.64
0.6, 0.8, 1533.37, NaN
0.6, 1,   1662.7,  NaN
0.8, 0.2, 809.884, NaN
0.8, 0.4, 1105.71, NaN
0.8, 0.6, 1533.37, NaN
0.8, 0.8, 2263.35, NaN
0.8, 1,   3561.06, NaN
1,   0.2, 701.218, NaN
1,   0.4, 1023.66, NaN
1,   0.6, 1662.7, NaN
1,   0.8, 3561.06, NaN
1,   1,   12164., NaN
